model	Recall	nDCG	MRR	HR
NGCF_seed=42_e=400_bs=256_lr=0$11702456573956464_factors=64_l_w=0$01260651335934907_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.0005655602227489121	0.0003336248222453462	0.00045616419822700925	0.0024598135118128256
NGCF_seed=42_e=400_bs=256_lr=0$00031776552205766285_factors=64_l_w=0$010996280532604513_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.0002804197007942162	0.00024249614544120108	0.0004831776541060907	0.001944968823293862
NGCF_seed=42_e=300_bs=256_lr=5$430176381161492e-05_factors=64_l_w=2$335098082717585e-05_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.00024249649763315883	0.0002374086216513097	0.0005327098900121038	0.0016017390309478862
NGCF_seed=42_e=300_bs=256_lr=0$001044451676430151_factors=64_l_w=0$00011510271956904305_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	8.283696415142354e-05	0.0001199457014553748	0.00038445368804043944	0.0008008695154739431
NGCF_seed=42_e=200_bs=256_lr=0$003269781808596937_factors=64_l_w=3$042448449498182e-05_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	8.283696415142354e-05	0.0001199457014553748	0.00038445368804043944	0.0008008695154739431
NGCF_seed=42_e=200_bs=256_lr=0$059379536230861014_factors=64_l_w=6$384406676490417e-05_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.00041990709250757204	0.000603523596388552	0.0018648818717464672	0.003432297923459756
NGCF_seed=42_e=100_bs=256_lr=0$03128909297068618_factors=64_l_w=0$9659086370538272_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.004090339032886908	0.0047734620791232765	0.011585322113895994	0.02070819747154053
NGCF_seed=42_e=300_bs=256_lr=2$096207722217206e-05_factors=64_l_w=0$14139959380056896_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.0005194209871127563	0.0004263195519714365	0.0008519226770470977	0.0029746582003317887
NGCF_seed=42_e=100_bs=256_lr=0$041351571452961595_factors=64_l_w=0$07192901084136044_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.0002958370321306722	0.0002456381258740326	0.00047516441887473295	0.001773353927120874
NGCF_seed=42_e=200_bs=256_lr=0$0004218537982055257_factors=64_l_w=0$0025280510730854543_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.00015065974956040488	0.00019317495788278273	0.0005088744877658556	0.0013729191693839025
NGCF_seed=42_e=200_bs=256_lr=1$4911357387898448e-05_factors=64_l_w=1$6080582883430455e-05_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.00036480246308800415	0.0002753745103904795	0.000487899333789157	0.0022881986156398377
NGCF_seed=42_e=100_bs=256_lr=0$08043390767896916_factors=64_l_w=0$010984035416423359_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.00032825071100859205	0.0002126110306908169	0.000295899493599854	0.0022309936502488414
NGCF_seed=42_e=300_bs=256_lr=0$0002604981780517294_factors=64_l_w=0$04468872887857782_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.00025555112407310186	0.0002347562560354943	0.0004955039621248649	0.001773353927120874
NGCF_seed=42_e=100_bs=256_lr=2$173274673688234e-05_factors=64_l_w=0$0021664208621140287_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.0002965053206954498	0.00016500529115615682	0.0002102963489611851	0.0015445340655568904
NGCF_seed=42_e=100_bs=256_lr=0$00014531257119432283_factors=64_l_w=0$33779885890009637_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.00014037702045811848	0.0001321638626949568	0.00029260793805156255	0.000858074480864939
NGCF_seed=42_e=100_bs=256_lr=0$23781434388242723_factors=64_l_w=0$8683325073454815_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.001049922825516846	0.0007445194082016374	0.0011540647759971595	0.007265030604656484
NGCF_seed=42_e=400_bs=256_lr=0$2578327168281767_factors=64_l_w=0$1176027120675962_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.0032584034716552058	0.002441709437797338	0.004464915649916508	0.017275899548080773
NGCF_seed=42_e=200_bs=256_lr=0$0004214491253017927_factors=64_l_w=3$27650119496582e-05_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.0001274194282069441	0.0001812330595122128	0.0004922578073427566	0.0013157142039929065
NGCF_seed=42_e=100_bs=256_lr=0$00016829365572517286_factors=64_l_w=0$17753117682497893_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.00027158644619483546	0.0003284629996784813	0.0008600267138108224	0.001716148961729878
NGCF_seed=42_e=400_bs=256_lr=0$0017243204344479547_factors=64_l_w=0$036747060770005224_weight_size=64_node_dropout=0$1-0$2-0$3-0$45-0$5_message_dropout=0$1-0$2-0$3-0$45-0$5_n_fold=5	0.00023903843413948655	0.00021047845306207413	0.00047952289242833264	0.0015445340655568904
