model	nDCG	Recall
LightGCN_seed=42_e=1000_bs=2048_lr=0$0001_factors=32_l_w=0$001_n_layers=1	0.008681181147381018	0.007687037667301083
LightGCN_seed=42_e=1000_bs=2048_lr=0$005_factors=32_l_w=0$0001_n_layers=4	0.014340223046351856	0.013459709672000374
LightGCN_seed=42_e=1000_bs=2048_lr=0$01_factors=8_l_w=0$0001_n_layers=1	0.008944123672925465	0.008205250503178814
LightGCN_seed=42_e=1000_bs=2048_lr=0$001_factors=8_l_w=1e-05_n_layers=3	0.013503240854007193	0.01267398637610427
LightGCN_seed=42_e=1000_bs=2048_lr=0$001_factors=8_l_w=0$001_n_layers=2	0.012219719206166754	0.011342874999209886
LightGCN_seed=42_e=1000_bs=2048_lr=0$0005_factors=8_l_w=0$0001_n_layers=3	0.0076499322698199	0.006798032947216216
LightGCN_seed=42_e=1000_bs=2048_lr=0$0005_factors=64_l_w=1e-05_n_layers=3	0.020685814291806017	0.019865577541816257
LightGCN_seed=42_e=1000_bs=2048_lr=0$01_factors=64_l_w=0$01_n_layers=2	0.011350160784367742	0.010216804062849548
LightGCN_seed=42_e=1000_bs=2048_lr=0$0005_factors=64_l_w=0$0001_n_layers=1	0.019773300515521224	0.01918632795110946
LightGCN_seed=42_e=1000_bs=2048_lr=0$005_factors=16_l_w=0$0001_n_layers=4	0.01173106792196273	0.010920069494988473
LightGCN_seed=42_e=1000_bs=2048_lr=0$01_factors=8_l_w=0$001_n_layers=1	0.0092870682849149	0.008372323268460038
LightGCN_seed=42_e=1000_bs=2048_lr=0$0005_factors=32_l_w=1e-05_n_layers=4	0.018064428206945683	0.01710685166346553
LightGCN_seed=42_e=1000_bs=2048_lr=0$005_factors=32_l_w=0$0001_n_layers=2	0.012697323859541377	0.011814070927513732
LightGCN_seed=42_e=1000_bs=2048_lr=0$01_factors=16_l_w=0$001_n_layers=3	0.010589982335943994	0.009583321983596812
LightGCN_seed=42_e=1000_bs=2048_lr=0$005_factors=64_l_w=1e-05_n_layers=3	0.01478465512053386	0.014026455526777537
LightGCN_seed=42_e=1000_bs=2048_lr=0$0001_factors=64_l_w=0$0001_n_layers=1	0.00973937167756519	0.008776910357373062
LightGCN_seed=42_e=1000_bs=2048_lr=0$0001_factors=64_l_w=0$01_n_layers=3	0.007225174421576003	0.006410708742248873
LightGCN_seed=42_e=1000_bs=2048_lr=0$005_factors=8_l_w=0$01_n_layers=3	0.010556845779454751	0.009633360476825097
LightGCN_seed=42_e=1000_bs=2048_lr=0$005_factors=64_l_w=1e-05_n_layers=4	0.013997334917491862	0.013104239101615964
LightGCN_seed=42_e=1000_bs=2048_lr=0$001_factors=32_l_w=0$0001_n_layers=1	0.01606319541282311	0.015245871452327642
LightGCN_seed=42_e=1000_bs=2048_lr=0$0005_factors=64_l_w=1e-05_n_layers=1	0.019700021234251627	0.01885852348191231
LightGCN_seed=42_e=1000_bs=2048_lr=0$0005_factors=16_l_w=1e-05_n_layers=3	0.009337842227636796	0.008419130631109835
LightGCN_seed=42_e=1000_bs=2048_lr=0$0001_factors=16_l_w=0$01_n_layers=3	0.007690519102799363	0.00686146542521564
LightGCN_seed=42_e=1000_bs=2048_lr=0$0005_factors=64_l_w=1e-05_n_layers=2	0.019570883933695497	0.018770155904903083
