model	nDCG	Recall
LightGCN_seed=42_e=1000_bs=2048_lr=0$0001_factors=32_l_w=0$001_n_layers=1	0.08077928981818881	0.09837731648072165
LightGCN_seed=42_e=1000_bs=2048_lr=0$005_factors=32_l_w=0$0001_n_layers=4	0.09327940444142828	0.11364932983510369
LightGCN_seed=42_e=1000_bs=2048_lr=0$01_factors=8_l_w=0$0001_n_layers=1	0.07766364383722994	0.09416423920234168
LightGCN_seed=42_e=1000_bs=2048_lr=0$001_factors=8_l_w=1e-05_n_layers=3	0.10066223276759004	0.12062747153665096
LightGCN_seed=42_e=1000_bs=2048_lr=0$001_factors=8_l_w=0$001_n_layers=2	0.09121152284555784	0.11045407813444409
LightGCN_seed=42_e=1000_bs=2048_lr=0$0005_factors=8_l_w=0$0001_n_layers=3	0.08147200662126068	0.10070579033379551
LightGCN_seed=42_e=1000_bs=2048_lr=0$0005_factors=64_l_w=1e-05_n_layers=3	0.12322747823409799	0.1486156249198803
LightGCN_seed=42_e=1000_bs=2048_lr=0$01_factors=64_l_w=0$01_n_layers=2	0.06850785620711976	0.08962291870631657
LightGCN_seed=42_e=1000_bs=2048_lr=0$0005_factors=64_l_w=0$0001_n_layers=1	0.11772865269805698	0.13943926205164087
LightGCN_seed=42_e=1000_bs=2048_lr=0$005_factors=16_l_w=0$0001_n_layers=4	0.09682440017065624	0.11561344700539049
LightGCN_seed=42_e=1000_bs=2048_lr=0$01_factors=8_l_w=0$001_n_layers=1	0.05741079803276836	0.0728968766702353
LightGCN_seed=42_e=1000_bs=2048_lr=0$0005_factors=32_l_w=1e-05_n_layers=4	0.12288311511422206	0.14530934327085412
LightGCN_seed=42_e=1000_bs=2048_lr=0$005_factors=32_l_w=0$0001_n_layers=2	0.08823034764355597	0.10993801046223409
LightGCN_seed=42_e=1000_bs=2048_lr=0$01_factors=16_l_w=0$001_n_layers=3	0.08693545246938816	0.10427380130441226
LightGCN_seed=42_e=1000_bs=2048_lr=0$005_factors=64_l_w=1e-05_n_layers=3	0.08916960598186449	0.11025305115289145
LightGCN_seed=42_e=1000_bs=2048_lr=0$0001_factors=64_l_w=0$0001_n_layers=1	0.07889901358515136	0.09599058930316796
LightGCN_seed=42_e=1000_bs=2048_lr=0$0001_factors=64_l_w=0$01_n_layers=3	0.06434616375002061	0.08127499293919481
LightGCN_seed=42_e=1000_bs=2048_lr=0$005_factors=8_l_w=0$01_n_layers=3	0.09177219761034033	0.10833591175612874
LightGCN_seed=42_e=1000_bs=2048_lr=0$005_factors=64_l_w=1e-05_n_layers=4	0.0845998752852175	0.10794191650605417
LightGCN_seed=42_e=1000_bs=2048_lr=0$001_factors=32_l_w=0$0001_n_layers=1	0.11238386124707696	0.1347184734608483
LightGCN_seed=42_e=1000_bs=2048_lr=0$0005_factors=16_l_w=1e-05_n_layers=4	0.110490069824405	0.132478658087489
