model	nDCG	Recall
LightGCN_seed=42_e=1000_bs=2048_lr=0$01_factors=32_l_w=0$01_n_layers=1	0.016730574691578685	0.015111548079822335
LightGCN_seed=42_e=1000_bs=2048_lr=0$0001_factors=16_l_w=0$0001_n_layers=1	0.019394969944850512	0.0172692995569684
LightGCN_seed=42_e=1000_bs=2048_lr=0$01_factors=16_l_w=1e-05_n_layers=1	0.01830183948698036	0.01670858023079408
LightGCN_seed=42_e=1000_bs=2048_lr=0$0005_factors=8_l_w=0$0001_n_layers=1	0.0248925655176074	0.02285568093416781
LightGCN_seed=42_e=1000_bs=2048_lr=0$005_factors=32_l_w=0$001_n_layers=1	0.019538476576717034	0.017971453356784392
LightGCN_seed=42_e=1000_bs=2048_lr=0$0005_factors=16_l_w=0$01_n_layers=1	0.021652682737382828	0.019496669271772914
LightGCN_seed=42_e=1000_bs=2048_lr=0$0005_factors=8_l_w=0$001_n_layers=1	0.019537417190948293	0.01734846114674701
LightGCN_seed=42_e=1000_bs=2048_lr=0$001_factors=64_l_w=1e-05_n_layers=1	0.029110109651059833	0.026218351258634084
LightGCN_seed=42_e=1000_bs=2048_lr=0$01_factors=16_l_w=0$001_n_layers=1	0.018375609388336003	0.01685133357730502
LightGCN_seed=42_e=1000_bs=2048_lr=0$01_factors=32_l_w=1e-05_n_layers=1	0.018431646571647056	0.016694211060093757
LightGCN_seed=42_e=1000_bs=2048_lr=0$0001_factors=8_l_w=0$01_n_layers=1	0.016937008930249103	0.015120478211482165
LightGCN_seed=42_e=1000_bs=2048_lr=0$005_factors=16_l_w=0$0001_n_layers=1	0.021047481643674155	0.019354963582738555
LightGCN_seed=42_e=1000_bs=2048_lr=0$0005_factors=32_l_w=1e-05_n_layers=1	0.03035383157372412	0.02762636853985062
LightGCN_seed=42_e=1000_bs=2048_lr=0$001_factors=8_l_w=1e-05_n_layers=1	0.02253771066104301	0.02101910470731259
LightGCN_seed=42_e=1000_bs=2048_lr=0$01_factors=16_l_w=0$01_n_layers=1	0.017991631831387987	0.016549623865293704
LightGCN_seed=42_e=1000_bs=2048_lr=0$0005_factors=64_l_w=0$01_n_layers=1	0.033206059422721236	0.03016420486736246
LightGCN_seed=42_e=1000_bs=2048_lr=0$001_factors=64_l_w=0$0001_n_layers=1	0.02928700929212329	0.026430651261759176
LightGCN_seed=42_e=1000_bs=2048_lr=0$0001_factors=8_l_w=1e-05_n_layers=1	0.016557587676414916	0.014802123430972843
LightGCN_seed=42_e=1000_bs=2048_lr=0$01_factors=16_l_w=0$0001_n_layers=1	0.018271565293179016	0.016712334863069278
LightGCN_seed=42_e=1000_bs=2048_lr=0$001_factors=64_l_w=0$01_n_layers=1	0.031531522108089946	0.028578833003059922
LightGCN_seed=42_e=1000_bs=2048_lr=0$005_factors=64_l_w=0$001_n_layers=1	0.01910228877269297	0.017635969518361855
