model	nDCG	Recall
NGCF_seed=42_e=500_bs=2048_lr=0$0005_factors=64_l_w=0$0001_n_layers=3_weight_size=64_node_dropout=0$1_message_dropout=0$2	0.10846284656181318	0.1360982923814215
NGCF_seed=42_e=500_bs=2048_lr=0$0005_factors=64_l_w=0$01_n_layers=1_weight_size=64_node_dropout=0$3_message_dropout=0$2	0.0966664600405784	0.1234039239122349
NGCF_seed=42_e=500_bs=2048_lr=0$01_factors=32_l_w=1e-05_n_layers=1_weight_size=64_node_dropout=0$1_message_dropout=0$1	0.05685006680803905	0.07458313592335239
NGCF_seed=42_e=500_bs=2048_lr=0$005_factors=32_l_w=0$001_n_layers=2_weight_size=64_node_dropout=0$2_message_dropout=0$1	0.07666871915241569	0.10675165784358984
NGCF_seed=42_e=500_bs=2048_lr=0$01_factors=16_l_w=1e-05_n_layers=2_weight_size=64_node_dropout=0$1_message_dropout=0$2	0.05951870978409332	0.07813449857432489
NGCF_seed=42_e=500_bs=2048_lr=0$01_factors=16_l_w=0$001_n_layers=3_weight_size=64_node_dropout=0$3_message_dropout=0$2	0.0525620644670931	0.07452474394231835
NGCF_seed=42_e=500_bs=2048_lr=0$0001_factors=8_l_w=1e-05_n_layers=3_weight_size=64_node_dropout=0$3_message_dropout=0$1	0.0906759697724261	0.10906111532582452
NGCF_seed=42_e=500_bs=2048_lr=0$0001_factors=32_l_w=1e-05_n_layers=1_weight_size=64_node_dropout=0$2_message_dropout=0$3	0.007500101631268332	0.00947180633414177
NGCF_seed=42_e=500_bs=2048_lr=0$0005_factors=8_l_w=1e-05_n_layers=3_weight_size=64_node_dropout=0$1_message_dropout=0$2	0.09934781051663798	0.1200072736665763
NGCF_seed=42_e=500_bs=2048_lr=0$001_factors=16_l_w=0$01_n_layers=1_weight_size=64_node_dropout=0$3_message_dropout=0$2	0.08856592167106271	0.11331715291297809
