Epoch	Epoch time(s)	Current_ram (MB)	Peak RAM (MB)
1	3422.020811319351	1560.23046875	1684.84765625
2	3480.7891643047333	1560.51953125	1684.9921875
3	3501.936952829361	1560.7421875	1685.0390625
4	3589.537827730179	1561.0234375	1685.046875
5	3436.3717267513275	1561.2421875	1685.046875
6	3447.5380022525787	1561.5390625	1685.046875
7	3478.7973144054413	1561.49609375	1685.046875
8	3453.8196420669556	1561.77734375	1685.046875
9	3413.235738992691	1561.99609375	1685.046875
10	3568.9909393787384	1562.27734375	1685.046875
11	3586.3440306186676	1562.5	1685.046875
12	3480.4835448265076	1562.52734375	1685.046875
13	3391.981570959091	1562.75	1685.05078125
14	3539.9184460639954	1563.02734375	1685.05078125
15	3555.18892455101	1563.25	1685.05078125
16	3520.537285089493	1563.28125	1685.05078125
17	3501.8730132579803	1563.5	1685.05078125
18	3494.6579160690308	1563.78125	1685.05078125
19	3552.949389219284	1564.01953125	1685.05078125
20	3516.71000957489	1564.28125	1685.05078125
21	3560.9063408374786	1564.27734375	1685.0625
22	3552.9248790740967	1564.546875	1685.0625
23	3554.8307247161865	1564.76171875	1685.0625
24	3542.8640270233154	1565.03125	1685.0625
25	3538.4629616737366	1565.24609375	1685.0625
26	3492.275783777237	1565.546875	1685.0625
27	3531.849371433258	1565.765625	1685.0703125
28	3516.016041278839	1566.06640625	1685.0703125
29	3502.2579929828644	1566.265625	1685.0703125
30	3528.524775505066	1566.546875	1685.0703125
