Epoch	Epoch time(s)	Current_ram (MB)	Peak RAM (MB)
1	778.8462097644806	875.94921875	1827.03125
2	750.0049564838409	875.96875	1827.03125
3	739.0278227329254	875.96875	1827.03125
4	754.4960584640503	875.9765625	1827.03125
5	751.870570898056	875.9765625	1827.03125
6	751.2997460365295	875.9765625	1827.03125
7	748.0888662338257	875.9765625	1827.03125
8	747.2231130599976	875.9765625	1827.03125
9	743.6230583190918	875.9765625	1827.03125
10	726.6962690353394	875.9765625	1827.03125
11	743.2457029819489	875.984375	1827.03125
12	748.0717620849609	875.984375	1827.03125
13	750.148485660553	875.98828125	1827.03125
14	744.8764188289642	875.98828125	1827.03125
15	750.6851723194122	875.98828125	1827.03125
16	756.4586355686188	875.98828125	1827.03125
17	771.1915481090546	875.98828125	1827.03125
18	753.9715960025787	875.9921875	1827.03125
19	755.4473659992218	875.9921875	1827.03125
20	762.4487466812134	875.9921875	1827.03125
21	755.4201514720917	875.9921875	1827.03125
22	755.02947473526	875.9921875	1827.03125
23	771.6380178928375	875.9921875	1827.03125
24	791.6686897277832	875.9921875	1827.03125
25	798.7719764709473	875.99609375	1827.03125
26	794.1947619915009	875.99609375	1827.03125
27	771.8000447750092	875.99609375	1827.03125
28	784.7002263069153	876.05859375	1827.03125
29	782.180282831192	876.05859375	1827.03125
30	775.4053406715393	876.05859375	1827.03125
