user_id	user_ground_truths	user_top_k_prediction
0	[7580, 3730, 5983, 5990, 7608, 1213, 6017, 7510, 7513, 8343, 6006, 8197, 1217, 6011, 10970, 6020, 18632, 7595, 5963, 5962, 6018, 5964, 10976, 4664, 20154, 8360, 5979, 7500, 6010, 1215, 3191, 1538]	[6010, 1213, 4672, 1217, 1215, 5980, 11017, 5973, 6011, 5987, 4673, 10989, 7508, 4684, 11054, 8365, 7596, 4674, 7599, 10956, 8196, 1459, 7513, 16206, 12079, 4685, 10957, 8107, 7531, 7532, 7602, 7998, 6019, 6008, 1456, 563, 5976, 10987, 6007, 10961, 11021, 10802, 11022, 16212, 7482, 5990, 7541, 6013, 5991, 8197, 17179, 6016, 5979, 6020, 13714, 8360, 10965, 8380, 3219, 10971, 5975, 25986, 16211, 7583, 15714, 10976, 30345, 7515, 7499, 16827, 6006, 16830, 6014, 1460, 21294, 10660, 7537, 1457, 5974, 10626, 7525, 10960, 21642, 8106, 10980, 5986, 4680, 7538, 25984, 8011, 9405, 6021, 1216, 7507, 30128, 8076, 8906, 25652, 5983, 7595]
1	[31613, 34341, 36414, 36721, 16213, 19928, 37961, 38230, 22103, 22105, 19926, 19927, 2525]	[978, 1165, 718, 1169, 575, 283, 2525, 4924, 643, 1609, 2337, 4207, 4289, 1811, 980, 6423, 503, 51, 2437, 3270, 11141, 2493, 2432, 2662, 19727, 7605, 8095, 2363, 16321, 10525, 559, 517, 4048, 4202, 675, 12439, 4380, 1754, 13807, 9163, 3192, 1242, 4186, 1843, 13795, 32978, 722, 18307, 674, 1168, 468, 4288, 19383, 5172, 18306, 13573, 7408, 7897, 10414, 31970, 904, 30743, 18123, 16213, 13808, 8305, 1538, 4381, 1004, 456, 2364, 9793, 2971, 9770, 12603, 1352, 24923, 877, 3211, 2974, 5359, 21739, 493, 744, 1933, 3261, 14312, 16544, 934, 7452, 4422, 1023, 6687, 13570, 1264, 23813, 970, 977, 12702, 27558]
2	[1526, 1513, 1686, 1500, 35515, 26752, 2179, 2174, 2549, 3797, 1325, 3634, 1237, 1695, 1632, 1238, 1262, 2624, 1636, 11182, 11185, 5693]	[1292, 559, 129, 51, 805, 128, 369, 1242, 978, 302, 553, 1500, 619, 1352, 1537, 4294, 545, 1320, 1287, 722, 718, 1546, 1831, 1236, 1302, 5430, 293, 141, 1541, 307, 283, 792, 1183, 761, 1636, 529, 1609, 1428, 456, 3541, 2363, 2247, 1023, 1233, 4523, 1231, 1165, 2624, 550, 316, 1513, 1421, 1321, 2220, 1395, 269, 8554, 1288, 775, 814, 1189, 306, 1325, 2541, 812, 2484, 5172, 1336, 8163, 3800, 2453, 3266, 373, 552, 1277, 2097, 1433, 778, 290, 305, 422, 397, 1230, 266, 1212, 2319, 791, 1398, 1314, 1025, 297, 28018, 11924, 1665, 1262, 12144, 1195, 1582, 1307, 1502]
3	[32189, 8437, 5178, 5179, 6451, 32807]	[247, 4294, 5438, 7427, 4272, 5439, 242, 7306, 18878, 2220, 245, 3064, 4319, 11639, 7305, 1538, 2543, 5340, 29675, 4332, 18022, 4244, 9578, 11636, 6834, 4273, 1500, 23087, 4271, 978, 7431, 9580, 4246, 7423, 4336, 18025, 19463, 239, 7330, 18717, 4321, 22747, 12932, 18883, 1023, 9577, 4283, 1609, 8986, 7435, 37308, 8985, 4253, 7322, 18708, 5172, 15746, 8988, 8981, 4276, 11637, 10814, 6959, 23636, 12963, 29674, 28576, 4309, 7776, 4250, 4268, 51, 7430, 36269, 13042, 11607, 9576, 7442, 36238, 26752, 28365, 4261, 3012, 11011, 4318, 7439, 7311, 29710, 7424, 28018, 3063, 4278, 4262, 31563, 4256, 7420, 5339, 4330, 9574, 10813]
4	[5284, 14418, 26420, 6988, 28644]	[1023, 1021, 1014, 1025, 5288, 6984, 12525, 11615, 1017, 559, 23126, 805, 13299, 9871, 11719, 5287, 1022, 1010, 9990, 16050, 3581, 555, 12519, 3574, 15145, 3572, 3565, 23420, 9997, 1016, 3582, 15144, 14423, 529, 9872, 293, 187, 4294, 15158, 2220, 369, 5279, 23123, 13096, 19353, 9436, 2971, 722, 6985, 22090, 2656, 15147, 15453, 11624, 1019, 553, 8170, 16068, 1551, 7408, 10322, 307, 8264, 189, 14417, 978, 1004, 3534, 3566, 1015, 26026, 19764, 11620, 19046, 575, 1428, 9435, 33224, 23419, 23122, 15152, 2363, 15165, 1538, 12524, 718, 34137, 3536, 1811, 1421, 18496, 203, 9470, 18130, 13273, 2432, 51, 19245, 3575, 12511]
5	[189, 792, 11355, 2315, 16498, 186, 29273, 1437, 1436, 2317, 187, 40042, 8622, 5770, 14204, 4587, 6041, 917, 1933, 1962, 11149, 677, 1910, 3122, 1816, 17898, 9364, 6647, 197, 3053, 3099, 2483, 1399, 32614, 198, 33535, 194, 8700, 22352, 35448, 805, 27356, 11357, 13907, 156, 2525, 559, 37625, 20983, 14961, 14779, 20248, 1207, 6579, 11169, 1428, 767, 766, 8741, 14220, 1831, 11383, 3107, 31368, 1421, 25844, 8890, 2319, 7844, 1795]	[559, 805, 1831, 189, 1428, 194, 197, 187, 619, 2319, 12144, 1795, 1421, 4519, 1242, 1594, 620, 761, 1553, 1430, 4657, 791, 203, 3105, 775, 201, 778, 1437, 765, 8593, 2097, 2362, 3092, 2301, 3059, 1571, 2127, 792, 5636, 198, 1165, 2310, 4646, 3024, 2266, 199, 1352, 5887, 2464, 2324, 4841, 623, 2472, 6347, 2247, 2484, 3096, 4598, 3097, 2252, 814, 2461, 1236, 1706, 1790, 1665, 2141, 2289, 2323, 621, 3107, 2896, 793, 812, 6291, 1292, 1169, 283, 2483, 5815, 161, 141, 6589, 4656, 3070, 1671, 3047, 1582, 801, 2135, 4432, 2473, 2673, 3099, 4458, 7417, 1209, 6558, 2096, 1473]
6	[6668, 1776, 529, 6444, 470, 1096, 1761]	[978, 2525, 189, 192, 805, 187, 205, 553, 369, 283, 208, 529, 302, 1421, 160, 194, 307, 792, 814, 545, 619, 316, 779, 1811, 2396, 4648, 778, 718, 1428, 775, 4656, 1571, 2362, 2971, 2289, 206, 620, 2472, 2363, 4079, 4207, 1320, 4289, 2319, 1755, 2247, 306, 1933, 1582, 202, 1029, 3191, 2220, 1538, 821, 980, 1739, 51, 2365, 1831, 141, 4841, 155, 3012, 6423, 1445, 1427, 809, 8337, 2464, 301, 2896, 1165, 1352, 4522, 2249, 4039, 1821, 2097, 722, 692, 305, 1422, 2127, 3133, 812, 552, 6821, 621, 291, 628, 1023, 3266, 7666, 315, 3136, 4608, 2305, 1706, 317]
7	[880, 3873, 8537, 669, 4105, 32191, 19477, 4083, 4082, 2958, 3843, 1933, 15358]	[2525, 1755, 468, 991, 1933, 1965, 8252, 744, 870, 3328, 1708, 1060, 3559, 3955, 2396, 7262, 2380, 1816, 696, 7758, 1925, 632, 3120, 2924, 6520, 8337, 11757, 4079, 2415, 8274, 1029, 3352, 3849, 2954, 654, 714, 1938, 1937, 1910, 3132, 1749, 4117, 11522, 628, 670, 699, 12565, 937, 3958, 669, 992, 1717, 6677, 3349, 14511, 9924, 155, 893, 1764, 2667, 13208, 473, 1772, 1829, 3901, 4006, 944, 1730, 1076, 466, 650, 2664, 1842, 2405, 881, 1875, 1818, 3846, 747, 2382, 6664, 6525, 9926, 1870, 2398, 9441, 1817, 820, 4139, 4045, 887, 1843, 6751, 677, 2273, 564, 888, 4344, 6673, 877]
8	[28093, 16028, 3955, 1709, 4053, 13584, 7897, 6687, 7900, 7902, 7899, 35863, 25736, 25370, 2935, 1772, 10417, 1843, 10418, 11515, 1762, 4082, 1730, 944, 574, 2281, 9332, 36256, 3252, 14696, 24603, 13166, 19504, 10607, 14607, 3195, 2944, 7936, 1964, 3956, 2938, 3250, 2387, 2525, 27801, 30347, 1755, 3914, 609, 566, 16552, 26044, 14609, 20051, 991, 1712, 2278, 18700, 22252, 1974, 15251, 14788, 2926, 585, 3349, 23286, 1986, 4344, 2924, 10040, 11513, 11094, 3293, 564, 2956, 4024, 3120, 2409]	[2525, 1076, 1755, 1933, 991, 1811, 1843, 468, 917, 2396, 8252, 7758, 992, 4079, 7745, 293, 1739, 1878, 1937, 1853, 473, 1821, 1938, 8337, 2491, 1831, 296, 564, 1428, 4344, 3956, 1087, 1730, 1067, 1930, 2635, 1955, 2493, 1996, 3297, 4037, 466, 1571, 461, 1910, 2362, 2337, 3323, 1772, 2278, 2533, 1851, 2924, 3121, 1762, 7458, 2097, 6664, 3313, 3946, 585, 1906, 1060, 2971, 3250, 2923, 476, 7209, 316, 2387, 6520, 9325, 12583, 3349, 2273, 7936, 2365, 1030, 470, 6687, 1941, 12144, 3915, 1870, 1918, 3958, 1627, 2276, 3322, 1758, 3199, 1925, 467, 3328, 202, 3901, 934, 12332, 1708, 3954]
9	[10032, 6685, 3014, 18347, 1925, 20219, 11773, 25873, 1758, 3298, 2525, 7755, 1652, 1650, 10029, 628, 699, 6507, 2986, 25370, 2786, 37507, 37508, 9316, 12852, 2954, 1843, 8148, 3141, 2637, 6751, 4410, 11536, 4111, 6750, 3242, 20901, 1755, 12587, 4030, 2527, 9314, 18419, 20228, 32296, 3000, 2965, 18042, 28479, 15078, 25369, 25364, 10031, 9296, 23246, 6684, 11605, 7458, 15077, 14771, 2387, 16938, 19867, 9471]	[2525, 2635, 744, 7458, 2493, 821, 3121, 1755, 2375, 571, 4203, 9296, 12225, 1933, 9471, 9989, 878, 10517, 3367, 2972, 2797, 4171, 3397, 628, 2923, 543, 718, 9730, 7459, 4079, 3533, 1937, 8305, 10031, 9731, 12342, 3532, 1843, 15068, 2365, 1821, 8128, 2929, 3140, 4230, 8252, 594, 2991, 17422, 1925, 7894, 593, 9314, 1962, 2939, 18486, 12355, 542, 9734, 842, 11609, 3376, 3370, 9723, 3322, 2664, 2492, 6507, 2337, 1918, 3014, 9321, 17426, 8274, 2056, 7897, 11770, 2786, 18485, 4162, 12565, 2679, 6664, 10030, 733, 6687, 7490, 3196, 2965, 141, 1930, 3366, 579, 14449, 642, 6482, 2055, 1878, 6685, 4119]
