Epoch	Epoch time(s)	Current_ram (MB)	Peak RAM (MB)
2	356.352778673172	875.3984375	1757.68359375
3	359.33501148223877	879.05859375	1757.68359375
4	351.2509677410126	879.1328125	1757.68359375
5	351.4102785587311	879.13671875	1757.68359375
6	362.14983105659485	879.16796875	1757.68359375
7	360.20042753219604	879.16796875	1757.68359375
8	360.6072738170624	879.16796875	1757.68359375
9	359.9033646583557	879.16796875	1757.68359375
10	359.89483761787415	879.14453125	1757.68359375
11	341.60865783691406	879.15234375	1757.68359375
12	361.03870034217834	879.15234375	1757.68359375
13	351.6639964580536	879.15625	1757.68359375
14	353.74271273612976	879.18359375	1757.68359375
15	353.48871088027954	879.16015625	1757.68359375
16	353.05290174484253	879.1640625	1757.68359375
17	352.9612784385681	879.4921875	1757.68359375
18	348.05570244789124	879.49609375	1757.68359375
19	338.84573674201965	879.49609375	1757.68359375
20	349.19780468940735	879.49609375	1757.68359375
21	346.9926733970642	879.49609375	1757.68359375
22	346.39238834381104	879.49609375	1757.68359375
23	356.3633952140808	879.49609375	1757.68359375
24	373.74318838119507	879.49609375	1757.68359375
25	356.66820907592773	879.50390625	1757.68359375
26	358.42692613601685	879.51953125	1757.68359375
27	388.4543354511261	879.49609375	1757.68359375
28	425.32033038139343	879.49609375	1757.68359375
29	386.86262702941895	879.49609375	1757.68359375
30	359.71973395347595	879.54296875	1757.68359375
31	396.5660092830658	879.58984375	1757.68359375
